Putative Entity,NHM Data Portal Link,Article DOI Link,Notes,_id,occurrenceID,catalogNumber,scientificName,typeStatus,locality,country,expedition,collectionCode,kingdom,phylum,class,order,family,genus,specificEpithet,higherClassification,lifeStage,sex,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries
NHMUK R11185,http://data.nhm.ac.uk/specimen/26587666-b9eb-4485-8953-58ad69b1869c,http://dx.doi.org/10.1371/journal.pone.0045712,,743188,26587666-b9eb-4485-8953-58ad69b1869c,PV R 11185,Ophthalmosaurus sp.,,Filey,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ophthalmosauridae,Ophthalmosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Early Cretaceous
NHMUK R11185,http://data.nhm.ac.uk/specimen/26587672-b9eb-4485-8953-58ad69b1869c,http://dx.doi.org/10.1371/journal.pone.0049584,,743188,26587666-b9eb-4485-8953-58ad69b1869c,PV R 11185,Ophthalmosaurus sp.,,Filey,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ophthalmosauridae,Ophthalmosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Early Cretaceous
NHMUK R1331,http://data.nhm.ac.uk/specimen/269752ce-f1e0-4e07-8883-d8f744692c59,http://dx.doi.org/10.1371/journal.pone.0031838,,2651754,269752ce-f1e0-4e07-8883-d8f744692c59,PV R 1331,"Thalassiodracon hawkinsi (Owen, 1838)",Cited,Street,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Plesiosauria,,Thalassiodracon,hawkinsi,Animalia; Chordata; Reptilia; Sauropterygia; Plesiosauria; Plesiosauroidea,,,Jurassic,Early Jurassic,Early Jurassic
BMNH M 85315,http://data.nhm.ac.uk/specimen/273019df-4252-4640-97f4-902ba8c9fc44,http://dx.doi.org/10.1371/journal.pone.0049054,,2101920,273019df-4252-4640-97f4-902ba8c9fc44,PV M 85315,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
NHMUK 1911.10.1.367,http://data.nhm.ac.uk/specimen/27912283-5fd2-4372-8867-bf4e63f8a389,http://dx.doi.org/10.1371/journal.pone.0095296,,2566444,27912283-5fd2-4372-8867-bf4e63f8a389,1911.10.1.367,Scrupocellaria inermis Norman,Type,Shetland,United Kingdom,,ZOO,,Bryozoa,,,,Scrupocellaria,inermis,Bryozoa,,,,,
BMNH M 85321,http://data.nhm.ac.uk/specimen/28931039-5bcf-45ba-a531-415475515624,http://dx.doi.org/10.1371/journal.pone.0049054,,2369230,28931039-5bcf-45ba-a531-415475515624,PV M 85321,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
NHMUK R4513,http://data.nhm.ac.uk/specimen/28abeb34-a04a-4f2d-9618-8d22ee7ddd14,http://dx.doi.org/10.1371/journal.pone.0084709,,27874,28abeb34-a04a-4f2d-9618-8d22ee7ddd14,PV R 4513,Ichthyosaurus sp.,,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Late Cretaceous,Late Cretaceous
NHMUK R3393,http://data.nhm.ac.uk/specimen/2918e53c-2d42-44d7-bde1-c54b2e7284dd,http://dx.doi.org/10.1371/journal.pone.0031838,,2642620,2918e53c-2d42-44d7-bde1-c54b2e7284dd,PV OR 3393,Iguanodon sp,,Tilgate Forest,British Isles,,PAL,Animalia,Chordata,Reptilia,Ornithischia,Iguanodontidae,Iguanodon,sp,Animalia; Chordata; Reptilia; Dinosauria; Ornithischia; Iguanodontidae,,,Cretaceous,Early Cretaceous,Early Cretaceous
NHMUK R8676,http://data.nhm.ac.uk/specimen/2950f09a-2c39-497e-8d6f-68349757fa11,http://dx.doi.org/10.1371/journal.pone.0031838,,529130,2950f09a-2c39-497e-8d6f-68349757fa11,PV R 8676,Iguanodon fittoni,,Speeton,British Isles,,PAL,Animalia,Chordata,Reptilia,Ornithischia,Iguanodontidae,Iguanodon,fittoni,Animalia; Chordata; Reptilia; Ornithischia; Iguanodontidae,,,,,
NHMUK R8676,http://data.nhm.ac.uk/specimen/2950f09a-2c39-497e-8d6f-68349757fa11,http://dx.doi.org/10.1371/journal.pone.0036745,,529130,2950f09a-2c39-497e-8d6f-68349757fa11,PV R 8676,Iguanodon fittoni,,Speeton,British Isles,,PAL,Animalia,Chordata,Reptilia,Ornithischia,Iguanodontidae,Iguanodon,fittoni,Animalia; Chordata; Reptilia; Ornithischia; Iguanodontidae,,,,,
NHMUK R2358,http://data.nhm.ac.uk/specimen/2b697b3a-c7d3-4d31-b699-4b4e4429225b,http://dx.doi.org/10.1371/journal.pone.0036745,PV R or PV OR?,1479634,2b697b3a-c7d3-4d31-b699-4b4e4429225b,PV OR 2358,Iguanodon sp,,Tilgate Forest,British Isles,,PAL,Animalia,Chordata,Reptilia,Ornithischia,Iguanodontidae,Iguanodon,sp,Animalia; Chordata; Reptilia; Dinosauria; Ornithischia; Iguanodontidae,,,Cretaceous,Early Cretaceous,Early Cretaceous
BMNH M 8437a,http://data.nhm.ac.uk/specimen/2ca4c323-5810-4b01-8dc7-cf203c973d98,http://dx.doi.org/10.1371/journal.pone.0049054,,1206271,2ca4c323-5810-4b01-8dc7-cf203c973d98,PV M 8437,,,,,,PAL,,,,,,,,,,,,,
BMNH M 8437b,http://data.nhm.ac.uk/specimen/2ca4c323-5810-4b01-8dc7-cf203c973d98,http://dx.doi.org/10.1371/journal.pone.0049054,,1206271,2ca4c323-5810-4b01-8dc7-cf203c973d98,PV M 8437,,,,,,PAL,,,,,,,,,,,,,
NHMUK R45,http://data.nhm.ac.uk/specimen/2ccfa644-be74-47e0-82a1-228d97323bcc,http://dx.doi.org/10.1371/journal.pone.0031838,,1169560,2ccfa644-be74-47e0-82a1-228d97323bcc,PV R 45,"Thalassiodracon hawkinsi (Owen, 1838)",Cited,Bennington,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Plesiosauria,,Thalassiodracon,hawkinsi,Animalia; Chordata; Reptilia; Sauropterygia; Plesiosauria; Plesiosauroidea,,,Jurassic,Early Jurassic,Early Jurassic
BMNH M 8436,http://data.nhm.ac.uk/specimen/2cdeb90c-6bb0-4430-8e2b-5873db0caca8,http://dx.doi.org/10.1371/journal.pone.0049054,,2122745,2cdeb90c-6bb0-4430-8e2b-5873db0caca8,PV M 8436,,,,,,PAL,,,,,,,,,,,,,
BMNH 2010.11.01.8,http://data.nhm.ac.uk/specimen/e2ce9828-596f-471a-b2f1-fd7e95ce4be1,http://dx.doi.org/10.1371/journal.pone.0042049,,1458040,e2ce9828-596f-471a-b2f1-fd7e95ce4be1,2010.11.01.8.SP2,Aplysina sp.,paratype,,,,ZOO,,Porifera,,Verongida,Aplysinidae,Aplysina,sp.,Porifera; Verongida; Aplysinidae,,,,,
2029*,http://data.nhm.ac.uk/specimen/2e1f8352-b81d-4680-807b-994902309a34,http://dx.doi.org/10.1371/journal.pone.0031838,,1779273,2e1f8352-b81d-4680-807b-994902309a34,PV OR 2029 *,"Eurycleidus arcuatus (Owen, 1840)",Lectotype,Street,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Plesiosauria,,Eurycleidus,arcuatus,Animalia; Chordata; Reptilia; Sauropterygia; Plesiosauria,,,Jurassic,Early Jurassic,Early Jurassic
NHMUK 1934.10.8.1,http://data.nhm.ac.uk/specimen/310f1d31-8488-4a42-a439-54a9fdd22e70,http://dx.doi.org/10.1371/journal.pone.0095296,,885896,310f1d31-8488-4a42-a439-54a9fdd22e70,1934.10.8.1,Scrupocellaria minuta Kirkpatrick,,,Mauritius,,ZOO,,Bryozoa,,,,Scrupocellaria,minuta,Bryozoa,,,,,
BMNH(E)1038600,http://data.nhm.ac.uk/specimen/31b28f2c-6a1c-482d-bf2a-cf734e56d420,http://dx.doi.org/10.1371/journal.pone.0051220,,2577661,31b28f2c-6a1c-482d-bf2a-cf734e56d420,BMNH(E)1038600,"Principapillatus hitoyensis de Sena Oliveira, 2012",paratype,Reserva Biologica Hitoy Cerere,Costa Rica,,BMNH(E),,Onychophora,Onychophorida,Euonychophora,Peripatidae,Principapillatus,hitoyensis,Onychophora; Onychophorida; Euonychophora; Peripatidae,adult,male,,,
BMNH R.332,http://data.nhm.ac.uk/specimen/323b5add-5522-4d22-ad24-a08b49e74305,http://dx.doi.org/10.1371/journal.pone.0088905,,2137537,323b5add-5522-4d22-ad24-a08b49e74305,PV R 332,Megalosaurus hesperis Waldman 1974,,,,,PAL,Animalia,Chordata,Reptilia,Saurischia,Megalosauridae,Megalosaurus,hesperis,Animalia; Chordata; Reptilia; Dinosauria; Saurischia; Megalosauridae,,,,,
2061*,http://data.nhm.ac.uk/specimen/37087d0d-ff43-4ca6-8123-baff179d6595,http://dx.doi.org/10.1371/journal.pone.0031838,,1105530,37087d0d-ff43-4ca6-8123-baff179d6595,PV OR 2061 *,"Eurycleidus arcuatus (Owen, 1840)",Lectotype,Street,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Plesiosauria,,Eurycleidus,arcuatus,Animalia; Chordata; Reptilia; Sauropterygia; Plesiosauria,,,Jurassic,Early Jurassic,Early Jurassic
BMMH M 9259,http://data.nhm.ac.uk/specimen/37f115c5-39cc-4d1d-994b-8a4e4fcd470f,http://dx.doi.org/10.1371/journal.pone.0049054,,1229476,37f115c5-39cc-4d1d-994b-8a4e4fcd470f,PV M 9259,,,,,,PAL,,,,,,,,,,,,,
BMNH M 85323,http://data.nhm.ac.uk/specimen/38698d5e-69f3-4f5c-8bba-5543021aac44,http://dx.doi.org/10.1371/journal.pone.0049054,,256303,38698d5e-69f3-4f5c-8bba-5543021aac44,PV M 85323,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
BMNH 2012.8.23.6,http://data.nhm.ac.uk/specimen/038e765f-1a4a-4e9d-9c3e-86f13c07ab18,http://dx.doi.org/10.1371/journal.pone.0046421,,474346,038e765f-1a4a-4e9d-9c3e-86f13c07ab18,2012.8.23.6,Gangesia macrones,,,India,,ZOO,Animalia,Platyhelminthes,Cestoda,Proteocephalidea,,Gangesia,macrones,Animalia; Platyhelminthes; Cestoda; Proteocephalidea,,,,,
NHMUK 1899.7.1.780,http://data.nhm.ac.uk/specimen/3a27e517-bfcd-43e7-bd2e-9b4ec2e0a1af,http://dx.doi.org/10.1371/journal.pone.0095296,,276490,3a27e517-bfcd-43e7-bd2e-9b4ec2e0a1af,1899.7.1.1841,Eschara pymiformis,,,,,ZOO,,,,,,Eschara,pymiformis,,,,,,
BMNH M 85310,http://data.nhm.ac.uk/specimen/3a39692e-b26c-48c7-aabd-dc7160a45f5f,http://dx.doi.org/10.1371/journal.pone.0049054,,837264,3a39692e-b26c-48c7-aabd-dc7160a45f5f,PV M 85310,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
BMNH 1985.11.8.48-52,http://data.nhm.ac.uk/specimen/c3b4a716-1aa8-4c77-bd2f-dc6d4769da4e,http://dx.doi.org/10.1371/journal.pone.0079155,,2145149,c3b4a716-1aa8-4c77-bd2f-dc6d4769da4e,1985.11.8.48-52,Protomicrocotyle sp.,,,,,ZOO,Animalia,Platyhelminthes,Monogenea,,Microcotylidae,Protomicrocotyle,sp.,Animalia; Platyhelminthes; Monogenea; Microcotylidae,,,,,
NHMUK 1936.12.30.177,http://data.nhm.ac.uk/specimen/3c7eb3f9-83c8-4202-96d6-920f1f5f1e7e,http://dx.doi.org/10.1371/journal.pone.0095296,,902679,3c7eb3f9-83c8-4202-96d6-920f1f5f1e7e,1936.12.30.177,Scrupocellaria pilosa Auduin,,Cargados,,,ZOO,,Bryozoa,,,,Scrupocellaria,pilosa,Bryozoa,,,,,
BMNH 1983.2.15.7,http://data.nhm.ac.uk/specimen/f3d05e03-c2c2-47f9-8fd8-9faaadfa2b33,http://dx.doi.org/10.1371/journal.pone.0037520,,446086,f3d05e03-c2c2-47f9-8fd8-9faaadfa2b33,1983.2.15.7,"Parasalenia gratiosa A.Agassiz, 1863",,,,,ZOO,,Echinodermata,Echinoidea,,Parasaleniidae,Parasalenia,gratiosa,Echinodermata; Echinoidea; Parasaleniidae,,,,,
BMNH M 85317,http://data.nhm.ac.uk/specimen/73dc0d26-02e4-4889-b6b3-d3617f47300e,http://dx.doi.org/10.1371/journal.pone.0049054,,1436957,73dc0d26-02e4-4889-b6b3-d3617f47300e,PV M 85317,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
NHMUK R4523,http://data.nhm.ac.uk/specimen/3f327b68-fe33-4483-b0e0-c1c58bbbda1f,http://dx.doi.org/10.1371/journal.pone.0045712,,1579086,3f327b68-fe33-4483-b0e0-c1c58bbbda1f,PV R 4523,Pterosauria,,Cambridge,British Isles,,PAL,,,Reptilia,Pterosauria,,,,Reptilia; Pterosauria,,,Cretaceous,Early Cretaceous,Late Cretaceous
NHMUK 1899.7.1.780,http://data.nhm.ac.uk/specimen/3fccd62b-5c0d-4c08-aaa1-4f978bf216e8,http://dx.doi.org/10.1371/journal.pone.0095296,,2104841,3fccd62b-5c0d-4c08-aaa1-4f978bf216e8,1899.7.1.780,"Scrupocellaria maderensis Busk, 1860",Holotype,,,,ZOO,,Bryozoa,Gymnolaemata,Cheilostomata,Candidae,Scrupocellaria,maderensis,Bryozoa; Gymnolaemata; Cheilostomata; Candidae,,,,,
NHMUK 1968.1.18.111,http://data.nhm.ac.uk/specimen/438c427c-6212-4b2b-9608-4594307617e7,http://dx.doi.org/10.1371/journal.pone.0095296,,644656,438c427c-6212-4b2b-9608-4594307617e7,1968.1.18.111,"Scrupocellaria varians (Hincks, 1882)",,Pacific Grove.,,,ZOO,,Bryozoa,Gymnolaemata,Cheilostomata,Candidae,Scrupocellaria,varians,Bryozoa; Gymnolaemata; Cheilostomata; Candidae,,,,,
BMNH 2012.8.23.1,http://data.nhm.ac.uk/specimen/8449d6f3-af9d-418b-8538-671664bf9536,http://dx.doi.org/10.1371/journal.pone.0046421,,2064258,8449d6f3-af9d-418b-8538-671664bf9536,2012.8.23.1,Gangesia agraensis,,,India,,ZOO,Animalia,Platyhelminthes,Cestoda,Proteocephalidea,,Gangesia,agraensis,Animalia; Platyhelminthes; Cestoda; Proteocephalidea,,,,,
BMNH M 85318,http://data.nhm.ac.uk/specimen/14502273-5337-4d1b-a7dd-52375f62e684,http://dx.doi.org/10.1371/journal.pone.0049054,figured,830452,14502273-5337-4d1b-a7dd-52375f62e684,PV M 85318,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
NHMUK 1926.9.6.84,http://data.nhm.ac.uk/specimen/4552c564-2e82-4bc1-b7de-2a0a39f145d5,http://dx.doi.org/10.1371/journal.pone.0095296,,1339415,4552c564-2e82-4bc1-b7de-2a0a39f145d5,1926.9.6.84-94,Scrupocellaria jolloisii Audouin,,Suez Canal,Egypt,,ZOO,,Bryozoa,Gymnolaemata,Cheilostomatida,,Scrupocellaria,jolloisii,Bryozoa; Gymnolaemata; Cheilostomatida,,,,,
BMNH 1865.7.17.24,http://data.nhm.ac.uk/specimen/f45fb5f5-086a-4215-b3ca-c3d4064b2203,http://dx.doi.org/10.1371/journal.pone.0021272,,1136363,f45fb5f5-086a-4215-b3ca-c3d4064b2203,1865.7.17.24,"Ophiocephalus diplogramma Day, 1865",HOLOTYPE,"Low country, Cochin",India,,ZOO,,,Actinopterygii,Perciformes,Channidae,Ophiocephalus,diplogramma,Actinopterygii; Perciformes; Channoidei; Channidae,,,,,
BMNH M 85301,http://data.nhm.ac.uk/specimen/477b9900-e0a7-442c-939f-048e3354bc14,http://dx.doi.org/10.1371/journal.pone.0049054,,2479075,477b9900-e0a7-442c-939f-048e3354bc14,PV M 85301,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
BMNH 1890.6.27.5–8,http://data.nhm.ac.uk/specimen/94829669-c1ea-4a58-bd84-c474c143df82,http://dx.doi.org/10.1371/journal.pone.0037520,,570120,94829669-c1ea-4a58-bd84-c474c143df82,1890.6.27.5-8,Echinus angulosus,,as Ceylon,Sri Lanka,,ZOO,,,,,,Echinus,angulosus,,,,,,
BMNH M 85313,http://data.nhm.ac.uk/specimen/499d8a9d-d4eb-40f8-b904-c199785cc5ff,http://dx.doi.org/10.1371/journal.pone.0049054,,287313,499d8a9d-d4eb-40f8-b904-c199785cc5ff,PV M 85313,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
BMNH M 85297,http://data.nhm.ac.uk/specimen/49c91ade-fe6e-48a5-8fce-97c168252552,http://dx.doi.org/10.1371/journal.pone.0049054,,963081,49c91ade-fe6e-48a5-8fce-97c168252552,PV M 85297,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
NHMUK R8667,http://data.nhm.ac.uk/specimen/4a6d715a-050e-42b2-b5d8-0ab7591a3dd8,http://dx.doi.org/10.1371/journal.pone.0034094,,2217119,4a6d715a-050e-42b2-b5d8-0ab7591a3dd8,PV R 8667,"Erythrosuchus africanus Broom, 1905",,Wismaars Backen; Burghesdorp,South Africa,,PAL,Animalia,Chordata,Reptilia,,Erythrosuchidae,Erythrosuchus,africanus,Animalia; Chordata; Reptilia; Archosauromorpha; Archosauria; Erythrosuchidae,,,Triassic,,
NHMUK R17,http://data.nhm.ac.uk/specimen/4a8ffb09-8bbc-444b-9afa-2da8d0457ac6,http://dx.doi.org/10.1371/journal.pone.0062421,,2645552,4a8ffb09-8bbc-444b-9afa-2da8d0457ac6,PV R 17,Ichthyosaurus sp.,,Folkestone,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Early Cretaceous
NHMUK R17,http://data.nhm.ac.uk/specimen/4a8ffb09-8bbc-444b-9afa-2da8d0457ac6,http://dx.doi.org/10.1371/journal.pone.0084709,,2645552,4a8ffb09-8bbc-444b-9afa-2da8d0457ac6,PV R 17,Ichthyosaurus sp.,,Folkestone,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Early Cretaceous
BMMH M 8441,http://data.nhm.ac.uk/specimen/4b5e3722-e92a-4a8a-997e-775e1823a07e,http://dx.doi.org/10.1371/journal.pone.0049054,,411368,4b5e3722-e92a-4a8a-997e-775e1823a07e,PV M 8441,,,,,,PAL,,,,,,,,,,,,,
BMMH M 8441A,http://data.nhm.ac.uk/specimen/4b5e3722-e92a-4a8a-997e-775e1823a07e,http://dx.doi.org/10.1371/journal.pone.0049054,,411368,4b5e3722-e92a-4a8a-997e-775e1823a07e,PV M 8441,,,,,,PAL,,,,,,,,,,,,,
BMNH M 85298,http://data.nhm.ac.uk/specimen/4cf564e8-554d-4747-8eaa-03dd1bee0fb1,http://dx.doi.org/10.1371/journal.pone.0049054,,637864,4cf564e8-554d-4747-8eaa-03dd1bee0fb1,PV M 85298,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
NHMUK 1966.1.10.9,http://data.nhm.ac.uk/specimen/4f37e4fb-9b31-42f4-b95d-27ef84befab7,http://dx.doi.org/10.1371/journal.pone.0095296,,2533250,4f37e4fb-9b31-42f4-b95d-27ef84befab7,1966.1.10.9,Scrupocellaria scruposa Linnaeus,,,,,ZOO,,Bryozoa,,,,Scrupocellaria,scruposa,Bryozoa,,,,,
NHMUK R2336,http://data.nhm.ac.uk/specimen/52b12a93-bda5-4156-81a2-bfac061bb7d8,http://dx.doi.org/10.1371/journal.pone.0034094,,435632,52b12a93-bda5-4156-81a2-bfac061bb7d8,PV R 2336,"Ichthyosaurus campylodon Carter, 1846",,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Late Cretaceous,Late Cretaceous
BMNH 1926.5.28.21-22,http://data.nhm.ac.uk/specimen/152fcee1-c599-4e82-a065-4d019753814f,http://dx.doi.org/10.1371/journal.pone.0115679,,1640941,152fcee1-c599-4e82-a065-4d019753814f,1926.5.28.21-22,"Aipysurus apraefrontalis Smith, 1926",paratypes,"Ashmore Reefs, Timor Sea",Australia,,ZOO,Animalia,Chordata,Reptilia,,Elapidae,Aipysurus,apraefrontalis,Animalia; Chordata; Vertebrata; Reptilia; Elapidae,,,,,
NHMUK 1963.3.6.7a,http://data.nhm.ac.uk/specimen/53734471-eb9f-4476-a746-30bd93af4772,http://dx.doi.org/10.1371/journal.pone.0095296,,1268641,53734471-eb9f-4476-a746-30bd93af4772,1963.3.6.7.a,Eucratea reptans (Linnaeus),,,United Kingdom,,ZOO,,Bryozoa,Gymnolaemata,Cheilostomatida,,Eucratea,reptans,Bryozoa; Gymnolaemata; Cheilostomatida,,,,,
NHMUK 35348,http://data.nhm.ac.uk/specimen/5581790c-452c-460d-a812-bb9e38c962e8,http://dx.doi.org/10.1371/journal.pone.0084709,,654638,5581790c-452c-460d-a812-bb9e38c962e8,PV OR 35348,Ophthalmosaurus sp.,,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ophthalmosauridae,Ophthalmosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
NHMUK R2790,http://data.nhm.ac.uk/specimen/56741f37-9613-4212-96ce-161d7684a195,http://dx.doi.org/10.1371/journal.pone.0086864,,361475,56741f37-9613-4212-96ce-161d7684a195,PV R 2790,"Erythrosuchus africanus Broom, 1905",,Kraai River,South Africa,,PAL,Animalia,Chordata,Reptilia,,Erythrosuchidae,Erythrosuchus,africanus,Animalia; Chordata; Reptilia; Archosauromorpha; Archosauria; Erythrosuchidae,,,Triassic,,
NHMUK 44159,http://data.nhm.ac.uk/specimen/57737e51-1f3b-47a4-89af-0a35fa9c6c66,http://dx.doi.org/10.1371/journal.pone.0062421,,1910213,57737e51-1f3b-47a4-89af-0a35fa9c6c66,PV OR 44159,Ichthyosaurus sp.,,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
NHMUK 44159a,http://data.nhm.ac.uk/specimen/57737e51-1f3b-47a4-89af-0a35fa9c6c66,http://dx.doi.org/10.1371/journal.pone.0062421,,1910213,57737e51-1f3b-47a4-89af-0a35fa9c6c66,PV OR 44159,Ichthyosaurus sp.,,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
BMNH M 85320,http://data.nhm.ac.uk/specimen/5877de10-5327-4fcb-9fb4-51b807e97e62,http://dx.doi.org/10.1371/journal.pone.0049054,,348967,5877de10-5327-4fcb-9fb4-51b807e97e62,PV M 85320,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
BMNH 2012.8.23.4–5,http://data.nhm.ac.uk/specimen/b59e3747-3322-4153-9277-46cd7da0adaf,http://dx.doi.org/10.1371/journal.pone.0046421,,2368104,b59e3747-3322-4153-9277-46cd7da0adaf,2012.8.23.4-5,Gangesia bengalensis,,,India,,ZOO,Animalia,Platyhelminthes,Cestoda,Proteocephalidea,,Gangesia,bengalensis,Animalia; Platyhelminthes; Cestoda; Proteocephalidea,,,,,
