Putative Entity,NHM Data Portal Link,Article DOI Link,Notes,_id,occurrenceID,catalogNumber,scientificName,typeStatus,locality,country,expedition,collectionCode,kingdom,phylum,class,order,family,genus,specificEpithet,higherClassification,lifeStage,sex,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries
NHMUK R16,http://data.nhm.ac.uk/specimen/0bd1d090-cad7-4e1b-a6d8-d999552acbf5,http://dx.doi.org/10.1371/journal.pone.0084709,,2590361,0bd1d090-cad7-4e1b-a6d8-d999552acbf5,PV R 16,"Ichthyosaurus campylodon Carter, 1846",,Folkestone,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Early Cretaceous
NHMUK R6856,http://data.nhm.ac.uk/specimen/0d338d06-b5ea-40e9-ab95-d18169b1c680,http://dx.doi.org/10.1371/journal.pone.0072753,,128329,0d338d06-b5ea-40e9-ab95-d18169b1c680,PV R 6856,Nyasasaurus parringtoni Nesbitt et al 2012,Holotype,Mkongoleko; Ruhuhu Valley,Tanzania,,PAL,Animalia,Chordata,Reptilia,Dinosauria,,Nyasasaurus,parringtoni,Animalia; Chordata; Reptilia; Dinosauria,,,Triassic,Middle Triassic,Middle Triassic
BMNH 1946.1.1.95,http://data.nhm.ac.uk/specimen/a0e76dc3-6b43-44cb-b747-ff7d16dac4b3,http://dx.doi.org/10.1371/journal.pone.0115679,,1640942,a0e76dc3-6b43-44cb-b747-ff7d16dac4b3,1946.1.1.95,"Aipysurus apraefrontalis Smith, 1926",paratype,"Ashmore Reefs, Timor Sea",Australia,,ZOO,Animalia,Chordata,Reptilia,,Elapidae,Aipysurus,apraefrontalis,Animalia; Chordata; Vertebrata; Reptilia; Elapidae,,,,,
BMNH M 85319,http://data.nhm.ac.uk/specimen/114e7dab-b3bd-43a2-9c0f-876ec41ecfc9,http://dx.doi.org/10.1371/journal.pone.0049054,,521880,114e7dab-b3bd-43a2-9c0f-876ec41ecfc9,PV M 85319,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
BMNH M 85318,http://data.nhm.ac.uk/specimen/14502273-5337-4d1b-a7dd-52375f62e684,http://dx.doi.org/10.1371/journal.pone.0049054,,830452,14502273-5337-4d1b-a7dd-52375f62e684,PV M 85318,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
NHMUK 1887.12.9.83,http://data.nhm.ac.uk/specimen/14f74cfb-096f-4d9c-9365-f005c1c2e30e,http://dx.doi.org/10.1371/journal.pone.0095296,identical cat number with deep sea fish,516540,14f74cfb-096f-4d9c-9365-f005c1c2e30e,1887.12.9.83,"Menipea clausa Busk, 1884",Type,,,Challenger Expedition,ZOO,Animalia,Bryozoa,Gymnolaemata,Cheilostomata,,Menipea,clausa,Animalia; Bryozoa; Gymnolaemata; Cheilostomata,,,,,
NHMUK 40358,http://data.nhm.ac.uk/specimen/15ddf5c1-6388-4670-8efd-03eceba5a341,http://dx.doi.org/10.1371/journal.pone.0034094,,1010770,15ddf5c1-6388-4670-8efd-03eceba5a341,PV OR 40358,"Ichthyosaurus campylodon Carter, 1846",,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
NHMUK 40358,http://data.nhm.ac.uk/specimen/15ddf5c1-6388-4670-8efd-03eceba5a341,http://dx.doi.org/10.1371/journal.pone.0062421,,1010770,15ddf5c1-6388-4670-8efd-03eceba5a341,PV OR 40358,"Ichthyosaurus campylodon Carter, 1846",,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
NHMUK 41896,http://data.nhm.ac.uk/specimen/15ddf5c1-6388-4670-8efd-03eceba5a341,http://dx.doi.org/10.1371/journal.pone.0062421,,1010770,15ddf5c1-6388-4670-8efd-03eceba5a341,PV OR 40358,"Ichthyosaurus campylodon Carter, 1846",,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
NHMUK R5764,http://data.nhm.ac.uk/specimen/16417ce6-740d-448f-b068-7ac0770ce4b6,http://dx.doi.org/10.1371/journal.pone.0014075,,2444863,16417ce6-740d-448f-b068-7ac0770ce4b6,PV R 5764,Iguanodon atherfieldensis,,Atherfield,British Isles,,PAL,Animalia,Chordata,Reptilia,Ornithischia,Iguanodontidae,Iguanodon,atherfieldensis,Animalia; Chordata; Reptilia; Dinosauria; Ornithischia; Iguanodontidae,,,Cretaceous,Early Cretaceous,Early Cretaceous
