Putative Entity,NHM Data Portal Link,Article DOI Link,Notes
NHMUK 40095,http://data.nhm.ac.uk/specimen/1f807b1b-db0d-40e0-95bf-97a3d546ca93,http://dx.doi.org/10.1371/journal.pone.0034094,
NHMUK 40095,http://data.nhm.ac.uk/specimen/1f807b1b-db0d-40e0-95bf-97a3d546ca93,http://dx.doi.org/10.1371/journal.pone.0062421,
BMNH 1978.6.15.6,http://data.nhm.ac.uk/specimen/020f6746-b128-4547-a3ce-9683217a17e0,http://dx.doi.org/10.1371/journal.pone.0079155,
BMNH 2007.7.25.30-33,http://data.nhm.ac.uk/specimen/f21101cc-21e6-46ab-ab4c-ccce16664cc4,http://dx.doi.org/10.1371/journal.pone.0079155,
NHMUK 1987.1.18.41,http://data.nhm.ac.uk/specimen/21435955-bf83-45dc-bd74-6eac9aa0a5db,http://dx.doi.org/10.1371/journal.pone.0095296,Typo 1899.7.1.1841
BMNH M 85302,http://data.nhm.ac.uk/specimen/21d1ba5f-4a15-49e9-81a7-6c2f788bdd0c,http://dx.doi.org/10.1371/journal.pone.0049054,
NHMUK 20130091/2-3,http://data.nhm.ac.uk/specimen/7f996e63-0d27-4c3f-a3ea-5ad9af3a7215,http://dx.doi.org/10.1371/journal.pone.0109785,
NHMUK 20130117/1,http://data.nhm.ac.uk/specimen/21e7e949-d9eb-4ede-9908-ef1ee7232205,http://dx.doi.org/10.1371/journal.pone.0109785,
NHMUK 20130117/2-3,http://data.nhm.ac.uk/specimen/21e7e949-d9eb-4ede-9908-ef1ee7232205,http://dx.doi.org/10.1371/journal.pone.0109785,
NHMUK 1968.1.18.110,http://data.nhm.ac.uk/specimen/22c09148-9d22-4295-8745-930ed137bbe4,http://dx.doi.org/10.1371/journal.pone.0095296,
BMNH.76.3.15.14,http://data.nhm.ac.uk/specimen/22d207e8-861f-48e4-b073-e42780d099ec,http://dx.doi.org/10.1371/journal.pone.0061998,
NHMUK 1929.4.26.17,http://data.nhm.ac.uk/specimen/2367ae71-8aa3-45d2-b38c-dd0b098a834c,http://dx.doi.org/10.1371/journal.pone.0095296,
NHMUK 35310,http://data.nhm.ac.uk/specimen/246d4850-8574-4997-a4a7-21c1211b6955,http://dx.doi.org/10.1371/journal.pone.0062421,
NHMUK R11185,http://data.nhm.ac.uk/specimen/26587666-b9eb-4485-8953-58ad69b1869c,http://dx.doi.org/10.1371/journal.pone.0031838,
NHMUK R11185,http://data.nhm.ac.uk/specimen/26587666-b9eb-4485-8953-58ad69b1869c,http://dx.doi.org/10.1371/journal.pone.0045712,
NHMUK R11185,http://data.nhm.ac.uk/specimen/26587666-b9eb-4485-8953-58ad69b1869c,http://dx.doi.org/10.1371/journal.pone.0049584,
NHMUK R1331,http://data.nhm.ac.uk/specimen/269752ce-f1e0-4e07-8883-d8f744692c59,http://dx.doi.org/10.1371/journal.pone.0031838,
BMNH M 85315,http://data.nhm.ac.uk/specimen/2273019df-4252-4640-97f4-902ba8c9fc44,http://dx.doi.org/10.1371/journal.pone.0049054,
NHMUK 1911.10.1.367,http://data.nhm.ac.uk/specimen/27912283-5fd2-4372-8867-bf4e63f8a389,http://dx.doi.org/10.1371/journal.pone.0095296,
BMNH M 85321,http://data.nhm.ac.uk/specimen/228931039-5bcf-45ba-a531-415475515624,http://dx.doi.org/10.1371/journal.pone.0049054,
NHMUK R4513,http://data.nhm.ac.uk/specimen/28abeb34-a04a-4f2d-9618-8d22ee7ddd14,http://dx.doi.org/10.1371/journal.pone.0084709,
